locus_tag	acronym	geneProduct	genePublication
MtrunA17Chr4g0019101	MtEPFL12	Epidermal Patterning Factor-Like	PMID:29030416
MtrunA17Chr4g0019141	MtATG8b	Autophagy related gene	PMID:34824334
MtrunA17Chr4g0019501	MtSSP1	smooth seed pod1 (role in spine formation on seed pods)	PMID:34329408
MtrunA17Chr4g0019791	MtPhyCys12	Phytocystatin	PMID:29030416
MtrunA17Chr4g0019971	MtPhyCys2	Phytocystatin	PMID:29030416
MtrunA17Chr4g0020041	MtCYP71D436	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr4g0020131	MtPhyCys28	Phytocystatin	PMID:29030416
MtrunA17Chr4g0020251	MtATG7	Autophagy related gene	PMID:34824334
MtrunA17Chr4g0020291	MtNCR-new35	Nodule-specific Cysteine-Rich peptide	PMID:35471237
MtrunA17Chr4g0020361	MtNCR488	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0020381	MtNCR274	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0020421	MtNCR486	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0020621	MtCKX5	cytokinin oxydase 5	PMID:33190018
MtrunA17Chr4g0020781	MtTIP1a	tonoplast intrinsic protein 1a (aquaporin)	PMID:25217511
MtrunA17Chr4g0020791	MtNOA1/RIF1	NO-associated protein 1/resistant to inhibition by fosmidomycin	PMID:21071678
MtrunA17Chr4g0021161	MtNCR243	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0021261	MtGRF1	"growth-regulating factor 1 (plant-specific transcription factor, TC183867)"	PMID:23566016
MtrunA17Chr4g0021591	MtNCR491	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0021711	MtBGAL22	beta-galactosidase 22	PMID:34451684
MtrunA17Chr4g0021731	MtRRA7	type-A response regulator	PMID:31088345
MtrunA17Chr4g0021771	MtPMT4_1|MtPMT4_2|MtPLT4.1|MtPLT4.2 	"Mannitol transporter, probable polyol transporter|polyol/monosaccharide transporter"	PMID:32016431|PMID:31568488
MtrunA17Chr4g0021781	MtNCR174	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0021791	MtNCR-new36	Nodule-specific Cysteine-Rich peptide	PMID:35471237
MtrunA17Chr4g0021831	MtNCR174	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0021861	MtNCR-new37	Nodule-specific Cysteine-Rich peptide	PMID:35471237
MtrunA17Chr4g0021881	MtNCR156	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0021921	MtNCR629	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0022124	MtNCR249	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0022134	MtNCR249b	Nodule-specific Cysteine-Rich peptide	"PMID:28438996|PMID:29030416|P. Gamas, unpublished"
MtrunA17Chr4g0022144	MtNCR249c	Nodule-specific Cysteine-Rich peptide	"PMID:28438996|PMID:29030416|P. Gamas, unpublished"
MtrunA17Chr4g0022351	MtSTIG/GRI_2	Stigma1 / GRI	PMID:29030416
MtrunA17Chr4g0022461	MtNCR633	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0022511	MtHAG19	Histone acetyltransferase of the GNAT family	PMID:35161303
MtrunA17Chr4g0022751	MtKunitz1	Kunitz-P Trypsin Inhibitor	PMID:29030416
MtrunA17Chr4g0022761	MtKunitz3	Kunitz-P Trypsin Inhibitor	PMID:29030416
MtrunA17Chr4g0022881	MtMYB052	Myeloblastosis (MYB) transcription factor 52	PMID:31188936
MtrunA17Chr4g0022891	MtMYB016	Myeloblastosis (MYB) transcription factor 16	PMID:31188936
MtrunA17Chr4g0022901	MtMYB013	Myeloblastosis (MYB) transcription factor 13	PMID:31188936
MtrunA17Chr4g0022911	MtMYB014	Myeloblastosis (MYB) transcription factor 14	PMID:31188936
MtrunA17Chr4g0022931	MtMYB007	Myeloblastosis (MYB) transcription factor 7	PMID:31188936
MtrunA17Chr4g0022971	MtNCR230	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0023401	MtNCR106	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0023441	MtNCR630	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0023461	MtNCR483	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0023531	MtNCR-new38	Nodule-specific Cysteine-Rich peptide	PMID:35471237
MtrunA17Chr4g0023581	MtNCR632	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0023741	MtSDG33	Histone methyltransferase SDG subfamily	PMID:35161303
MtrunA17Chr4g0023911	MtTPS4	terpene synthase 4 (TC172588)	PMID:25075527
MtrunA17Chr4g0024121	MtPrx53	peroxidase	PMID:27375649
MtrunA17Chr4g0024201	MtLAT52/POE_29	Late Anther Tomato52/Pollen Ole e 1 Allergen and Extensin	PMID:29030416
MtrunA17Chr4g0024211	MtLAT52/POE_30	Late Anther Tomato52/Pollen Ole e 1 Allergen and Extensin	PMID:29030416
MtrunA17Chr4g0024251	MtNCR264	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0024301	MtNCR027	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0024411	MtCP3	cystein protease 3	PMID:35781677
MtrunA17Chr4g0024444		ribosomal protein L2	PMID:33002000
MtrunA17Chr4g0024501	MtMATE7	multidrug and toxic compound extrusion family	PMID:28052433
MtrunA17Chr4g0024721	MtATG8c	Autophagy related gene	PMID:34824334
MtrunA17Chr4g0024731	MtNCR139	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0024771	MtCYP71D417	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr4g0025501	MtPUB31	Plant U-box protein 31	PMID:28771553
MtrunA17Chr4g0025521	MtBELL	BEL-Like homeodomain protein	PMID:33419376
MtrunA17Chr4g0025571	MtLHW	LONESOME HIGHWAY (bHLH transcription factor)	PMID:33299183
MtrunA17Chr4g0025611	MtCLE38	CLAVATA3/EMBRYO-SURROUNDING REGION (CLE) family	PMID:29030416|PMID:28839170
MtrunA17Chr4g0026161	MtNCR634	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0026171	MtLAT52/POE_8	Late Anther Tomato52/Pollen Ole e 1 Allergen and Extensin	PMID:29030416
MtrunA17Chr4g0026191	MtGLP1	germin-like protein 1	PMID:20003073
MtrunA17Chr4g0026441	MtNCR111	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0026471	MtNCR303	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0026511	MtNCR010	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0026671	MtFIE.13	FERTILIZATION-INDEPENDENT ENDOSPERM (Polycomb group PcG protein)	PMID:34299158
MtrunA17Chr4g0026831	MtCER1-1	ECERIFERUM 1 (Suberin biosynthesis)	PMID:25922487
MtrunA17Chr4g0026941	MtCYP94C9	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr4g0027021	MtHDA6	Histone deacetylase 6	PMID:35161303
MtrunA17Chr4g0027041	MtNCR635	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0027051	MtIPT5	tRNA  isopentenyl transferase	PMID:29593763|PMID:26351356
MtrunA17Chr4g0027061	MtIDA25	Inflorescence Deficient in Abscission	PMID:29030416
MtrunA17Chr4g0027181	MtHDT3|MtHDT1	Histone deacetylase 3 (XP_003606266)	PMID:24236403|PMID:33744928
MtrunA17Chr4g0027191	MtHDT1	Histone deacetylase 1 (XP_003606267)	PMID:24236403
MtrunA17Chr4g0027281	MtNCR129	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0027871	MtNCR425	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0027881	MtNCR636	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0027931	MtNCR187	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0027961	MtPAO	PHEOPHORBIDE A OXYGENASE (chlorophyll degradation)	PMID:25922487
MtrunA17Chr4g0028001	"MtCu,Zn-SOD2"	copper/ zinc superoxide dismutase 2	PMID:34626033
MtrunA17Chr4g0028021	MtNCR127	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0028311	MtMYB068	Myeloblastosis (MYB) transcription factor 68	PMID:31188936
MtrunA17Chr4g0028381	MtNCR293	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0028541	MtNRT2.2	nitrate transporter 2.2	PMID:25430977
MtrunA17Chr4g0028551	MtNRT2.1	nitrate transporter 2.1	PMID:25430977
MtrunA17Chr4g0028701	MtBELL	BEL-Like homeodomain protein	PMID:33419376
MtrunA17Chr4g0028791	MtPhyCys3	Phytocystatin	PMID:29030416
MtrunA17Chr4g0028861	MtCNGC15b	cyclic nucleotide-gated channel	PMID:27230377
MtrunA17Chr4g0028871	LOG-like2	Lonely Guy-like (CK biosynthesis)	
MtrunA17Chr4g0028991	MtPHV	PHAVOLUTA (Homeodomain transcription factor)	PMID:33299183
MtrunA17Chr4g0029271	MtRC7	Root Cap 7	PMID:29030416
MtrunA17Chr4g0029291	MtRC8	Root Cap 8	PMID:29030416
MtrunA17Chr4g0029301	MtBGAL15	beta-galactosidase 15	PMID:34451684
MtrunA17Chr4g0029411	MtNCR429	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0029541	MtNCR140	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0029561	MtNCR278	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0029571	MtNCR261	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0029611	MtNCR-new39	Nodule-specific Cysteine-Rich peptide	PMID:35471237
MtrunA17Chr4g0029641	MtNCR428	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0029651	MtNCR426	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0029661	MtNCR640	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0029671	MtARF12|MtARF4a	auxin response factor 12	PMID:25759704|PMID:33897748
MtrunA17Chr4g0029741	MtNCR128	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0029771	MtNCR313b	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0029781	MtNCR145	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0029811	MtNCR312	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0029831	MtNCR062	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0029881	MtNCR355	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0029901	MtNCR-new40	Nodule-specific Cysteine-Rich peptide	PMID:35471237
MtrunA17Chr4g0029911	MtNCR074	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0030001	MtLBD11	LOB Domain protein 11	PMID:31543454
MtrunA17Chr4g0030151	MtMAPK3	MAP kinase 	PMID:24317362
MtrunA17Chr4g0030171	MtcAPX1	cytosolic ascorbate peroxidase 1	PMID:25192698
MtrunA17Chr4g0030231	MtMAPK13-1	MAP kinase 	PMID:24317362
MtrunA17Chr4g0030241	MtMAPK13-2	MAP kinase 	PMID:24317362
MtrunA17Chr4g0030271	MtPRR4	pseudo response regulator ( clock-RR) 4	PMID:31088345
MtrunA17Chr4g0030701	MtCYP93B28	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr4g0030711	MtCYP93B29	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr4g0030741	MtCYP93B30	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr4g0030861	MtTIP1g	tonoplast intrinsic protein 1f (aquaporin)	PMID:25217511
MtrunA17Chr4g0030881	MtMYB122	Myeloblastosis (MYB) transcription factor 122	PMID:31188936
MtrunA17Chr4g0031001	MtH2A.W-3	Histone H2A variant W	PMID:35817824
MtrunA17Chr4g0031041	MtH2A.W-4	Histone H2A variant W	PMID:35817824
MtrunA17Chr4g0031111	MtNCR360	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0031231	MtNCR298	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0031241	MtIDA19	Inflorescence Deficient in Abscission	PMID:29030416
MtrunA17Chr4g0031271	MtNCR235	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0031351	MtNCR107	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0031371	MtNCR641	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0031381	MtNCR029	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0031431	MtPUB2|MtPUB32	"plant U-box (PUB) protein (E3 ligase, KU285617)"	PMID:29440269|PMID:28771553
MtrunA17Chr4g0031651	MtH2A.W-5	Histone H2A variant W	PMID:35817824
MtrunA17Chr4g0031891	MtRTFL/DVL_8	Rotundifolia/Devil	PMID:29030416
MtrunA17Chr4g0031991	MtNCR642	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0032021	MtVGT1.2 	vacuolar glucose transporter	PMID:31568488
MtrunA17Chr4g0032191	MtMTP2	Metal Tolerance Protein 2	DOI:10.3389/fpls.2018.00990
MtrunA17Chr4g0032291	MtCOPT4	copper transporter	PMID:29349810
MtrunA17Chr4g0032301	MtH2A.W-6	Histone H2A variant W	PMID:35817824
MtrunA17Chr4g0032401	MtMYB123	Myeloblastosis (MYB) transcription factor 123	PMID:31188936
MtrunA17Chr4g0032571	MtCOPT7	copper transporter	PMID:29349810
MtrunA17Chr4g0032581	MtCOPT5	copper transporter	PMID:29349810
MtrunA17Chr4g0032591	MtZIP12	Zinc-Iron Permease 12	PMID:28732146
MtrunA17Chr4g0032631	MtPLT2	plethora 2 (ERF transcription factor)	PMID:26253408
MtrunA17Chr4g0032641	MtNCR333	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0032661	MtNCR201	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0032681	MtNCR332	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0032701	MtNCR206	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0032721	MtNCR213	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0032741	MtNCR203	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0032791	MtNCR161	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0032801	MtNCR468	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0032911	MtNCR294	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0032931	MtNCR643	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0033011	MtNCR516	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0033021	MtNCR220	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0033081	MtJMJ21	Histone demethylase JmjC domain-containing	PMID:35161303
MtrunA17Chr4g0033101	MtNodGRP23	Nodule-specific Glycine-rich	PMID:29030416
MtrunA17Chr4g0033121	MtCLE39	CLAVATA3/EMBRYO-SURROUNDING REGION (CLE) family	PMID:29030416|PMID:28839170
MtrunA17Chr4g0033131	MtPCY12|MtSC6	Plantacyanin/Chemocyanin|stellacyanin 6	PMID:29030416|PMID:30649463
MtrunA17Chr4g0033161	MtNCR251	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0033171	MtLOX1	lipoxygenase (TC100514)	PMID:17249425
MtrunA17Chr4g0033181	MtLOX5	lipoxygenase (TC100513)	PMID:17249425
MtrunA17Chr4g0033221	MtNCR645	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0033241	MtNCR646	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0033291	MtTSAR2	triterpene saponin activation  regulator 2	PMID:26589673
MtrunA17Chr4g0033371	MtCDPK24	calcium-dependent protein kinase24	PMID:30129677
MtrunA17Chr4g0033381	MtLAT52/POE_39	Late Anther Tomato52/Pollen Ole e 1 Allergen and Extensin	PMID:29030416
MtrunA17Chr4g0033491	MtNCR647	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0033531	MtSC7	stellacyanin 7	PMID:30649463
MtrunA17Chr4g0033571	MtACR4-1	crinkly4|Serine/threonine protein kinase-like	PMID:24483147
MtrunA17Chr4g0033601	MtCML18	Calmodulin-like 18	PMID:32992668
MtrunA17Chr4g0033791	MtNLP2	NIN-like protein 2  (MtNLP2|PMID:24987011)	PMID:30297831
MtrunA17Chr4g0033861	MtPIP1	PAMP-induced Secreted Peptide	PMID:29030416
MtrunA17Chr4g0033961	MtVRN1.19	VERNALIZATION1|VRN1-like (PcG-1 Polycomb group protein)	PMID:34299158|PMID:33631796
MtrunA17Chr4g0034141	MtCYP74C13|MtDES	Cytochrome P450 monooxygenase|divinyl ether synthase (TC107037)	PMID:34576120|PMID:17249425
MtrunA17Chr4g0034161	MtCOR413	COLD-REGULATED 413	PMID:34528312
MtrunA17Chr4g0034301	MtPhytogb1.1|MtGlb1-1	non-symbiotic hemoglobin (ns-Hb)	PMID:32003030|PMID:32442331
MtrunA17Chr4g0034311	MtPhytogb1.2|MtGlb1-2	non-symbiotic hemoglobin (ns-Hb)	PMID:32003030|PMID:32442331
MtrunA17Chr4g0034531	MtnsLTP50	non-specific Lipid Transfer Protein	PMID:29030416
MtrunA17Chr4g0034561	MtnsLTP51	non-specific Lipid Transfer Protein	PMID:29030416
MtrunA17Chr4g0034571	MtnsLTP131	non-specific Lipid Transfer Protein	PMID:29030416
MtrunA17Chr4g0034581	MtnsLTP52	non-specific Lipid Transfer Protein	PMID:29030416
MtrunA17Chr4g0034681	MtPMT5_2|MtPLT1.1 	polyol/monosaccharide transporter	PMID:32016431|PMID:31568488
MtrunA17Chr4g0034851	MtHDMA8	Histone demethylase KDM1/LSD1-like	PMID:35161303
MtrunA17Chr4g0034871	MtRab7A2	Ras-related protein 	PMID:19734435
MtrunA17Chr4g0034901	MtBG10	"beta-1,3-Glucanase 10"	PMID:30416059
MtrunA17Chr4g0035351	MtNCR209	Nodule-specific Cysteine-Rich peptide	PMID:28438996|PMID:29030416
MtrunA17Chr4g0035414	MtATB2	S class bZIP transcription factor	PMID:20647303
MtrunA17Chr4g0035444	MtRLP1	Receptor-like protein-1 (SUNN-homolog without a kinase domain)	PMID:16240175
MtrunA17Chr4g0035464	MtSUNN	supernumeric nodules (CLV1-like receptor like protein)	PMID:16240175
MtrunA17Chr4g0035581	MCM2-like4	DNA replication licensing factor	
MtrunA17Chr4g0035591	MtSTY6	SHORT INTERNODES/STYLISH 6	PMID:32978812
MtrunA17Chr4g0035611	MtFIE.14	FERTILIZATION-INDEPENDENT ENDOSPERM (Polycomb group PcG protein)	PMID:34299158
MtrunA17Chr4g0035621	MtH2A.W-7	Histone H2A variant W	PMID:35817824
MtrunA17Chr4g0035741	MtMATE62	multidrug and toxic compound extrusion family	PMID:28052433
MtrunA17Chr4g0035751	MtMATE63	multidrug and toxic compound extrusion family	PMID:28052433
MtrunA17Chr4g0035761	MtMATE61	multidrug and toxic compound extrusion family	PMID:28052433
MtrunA17Chr4g0035791	MtMATE60	multidrug and toxic compound extrusion family	PMID:28052433
MtrunA17Chr4g0035811	MtMATE59	multidrug and toxic compound extrusion family	PMID:28052433
MtrunA17Chr4g0035921	MtCYP84A64	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr4g0035991	MtNCR-new41	Nodule-specific Cysteine-Rich peptide	PMID:35471237
MtrunA17Chr4g0036021	MtPMT5_3|MtPLT1.3 	"Sorbitol-like transporter, polyol transporter|polyol/monosaccharide transporter"	PMID:32016431|PMID:31568488
MtrunA17Chr4g0036951	MtMSI1.3	MULTICOPY SUPRESSOR OF IRA	PMID:34299158
MtrunA17Chr4g0037021	MtROP6	Rho-related GTPase 6 (AF498357)	PMID:20590994
MtrunA17Chr4g0037031	MtBGAL16	beta-galactosidase 16	PMID:34451684
MtrunA17Chr4g0037111	MtSYT1	synaptotagmin 1	PMID:28265280
MtrunA17Chr4g0037131	MtcAPX2	cytosolic ascorbate peroxidase 2	PMID:34626033
MtrunA17Chr4g0037141	MtMYB017	Myeloblastosis (MYB) transcription factor 17	PMID:31188936
MtrunA17Chr4g0037361	MtLAX5	Like Aux1 (auxin influx carrier)-5 (AY115845)	PMID:15375694
MtrunA17Chr4g0037611	MtGA2ox10	Gibberellin C20-GA2-oxidase 10  (GA inactivation)	PMID:30976084
MtrunA17Chr4g0038121	MtENR I	Enoyl-ACP reductase I	PMID:28596307
MtrunA17Chr4g0038151	MtPrx110	peroxidase	PMID:27375649
MtrunA17Chr4g0038161	MtPrx76	peroxidase	PMID:27375649
MtrunA17Chr4g0038271	MtCYP86B6	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr4g0038391	MtELC 	ESCRT-I (endosomal sorting complex required for transport I) subunit 	PMID:25527707
MtrunA17Chr4g0038461	MtLAT52/POE_15	Late Anther Tomato52/Pollen Ole e 1 Allergen and Extensin	PMID:29030416
MtrunA17Chr4g0038651	MtRopGEF1	Rop guanine nucleotide exchange factor 1	PMID:34236765
MtrunA17Chr4g0038761	MtSCL23	SCARECROW-Like 23 (GRAS transcription factor)	PMID:33299183
MtrunA17Chr4g0038861	MtnsLTP103	non-specific Lipid Transfer Protein	PMID:29030416
MtrunA17Chr4g0038961	MtBG20|MtBGLU1	"beta-1,3-Glucanase 20|beta-1,3-glucanase 1 "	PMID:30416059|PMID:14739349
MtrunA17Chr4g0038971	MtBG21	"beta-1,3-Glucanase 21"	PMID:30416059
MtrunA17Chr4g0038981	MtPR-2|MtBGL|MtBG19	"pathogenesis-related 2|beta-1,3-glucanase (TC98780,SA-responsive)|beta-1,3-Glucanase 19"	PMID:17249425|PMID:24916161|PMID:30416059
MtrunA17Chr4g0039011	MtBG22	"beta-1,3-Glucanase 22"	PMID:30416059
MtrunA17Chr4g0039021	MtBG23	"beta-1,3-Glucanase 23"	PMID:30416059
MtrunA17Chr4g0039071	MtBG24	"beta-1,3-Glucanase 24"	PMID:30416059
MtrunA17Chr4g0039231	MtABCG12	ATP-binding cassette (ABC) transporter type G 	PMID:32690757
MtrunA17Chr4g0039251	MtABCG15	ATP-binding cassette (ABC) transporter type G (MT533597)	PMID:32690757
MtrunA17Chr4g0039261	MtABCG13	ATP-binding cassette (ABC) transporter type G (MT533595)	PMID:32690757
MtrunA17Chr4g0039371	MtnsLTP104	non-specific Lipid Transfer Protein	PMID:29030416
MtrunA17Chr4g0039391	MtCYP81X3	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr4g0039561	DDM1-like	DECREASED DNA METHYLATION 1	
MtrunA17Chr4g0039651	MtVGT2_1|MtVGT1.1 	vacuolar glucose transporter	PMID:32016431|PMID:31568488
MtrunA17Chr4g0039721	MtENODL20|MtPCY64	ENOD-like 20|Plantacyanin/Chemocyanin 64	PMID:30649463|PMID:29030416
MtrunA17Chr4g0039821	MtABAB13	ATP-Binding-Cassette (ABC) transporter typeB (P-glycoprotein (MDR/PGP/ABCB) efflux/conditional auxin transporter)	PMID:26228273
MtrunA17Chr4g0039901	MtCYP76F72	Cytochrome P450 monooxygenase	PMID:34576120
MtrunA17Chr4g0039971	MtMYB049	Myeloblastosis (MYB) transcription factor 49	PMID:31188936
MtrunA17Chr4g0040291	MtENODL21|MtPCY50	ENOD-like 21|Plantacyanin/Chemocyanin 50	PMID:30649463|PMID:29030416
MtrunA17Chr4g0040491	MtTAX3	Taximin 3	PMID:29030416
MtrunA17Chr4g0040881	MtCP1|MtCP6	cystein protease 1|cystein protease 6 (TC100437)	PMID:35781677|PMID:20081044
MtrunA17Chr4g0040921	MtTCP10B	"TEOSINTE BRANCHED1 (TB1), CYCLOIDEA (CYC), PROLIFERATING CELL FACTORS 1&2 (PCF1  & 2) family"	PMID:29942322
MtrunA17Chr4g0040951	MtCLE13	CLAVATA3/EMBRYO-SURROUNDING REGION (CLE) family	PMID:29030416
MtrunA17Chr4g0040971	MtCLE12	CLAVATA3/EMBRYO-SURROUNDING REGION (CLE) family	PMID:29030416
MtrunA17Chr4g0040991	MtTAX4	Taximin 4	PMID:29030416
MtrunA17Chr4g0041061	MtCP2	cystein protease 2	PMID:35781677
MtrunA17Chr4g0041081	MtCP6|MtCP	cystein protease 6|cystein protease	PMID:35781677|PMID:28607058
MtrunA17Chr4g0041151	MtGT-22/23/24	trihelix transcription factor (GT) 22/23/24	PMID:33238556
MtrunA17Chr4g0041191	MtMAX2a	MORE AXILLARY BRANCHING 2 (F-box protein)	PMID:31477892
MtrunA17Chr4g0041381	MtTPS7	trehalose phosphate synthase 7	PMID:33848573
MtrunA17Chr4g0041481	MtCP8	cystein protease 8	PMID:35781677
MtrunA17Chr4g0041521	MtCP9	cystein protease 9	PMID:35781677
MtrunA17Chr4g0041721	MtCycD2-2	Cyclin D type	PMID:33228084
MtrunA17Chr4g0041811	MtENODL22|MtPCY54	ENOD-like 22|Plantacyanin/Chemocyanin 54	PMID:30649463
MtrunA17Chr4g0041871	MtABAB14	ATP-Binding-Cassette (ABC) transporter typeB (P-glycoprotein (MDR/PGP/ABCB) efflux/conditional auxin transporter)	PMID:26228273
MtrunA17Chr4g0042111	MtTPS1	terpene synthase 1 (TC172570)	PMID:25075527
MtrunA17Chr4g0042481	MtCDFc1	CYCLING DOF FACTOR	PMID:31608091
MtrunA17Chr4g0042491	MtCML19	Calmodulin-like 19	PMID:32992668
MtrunA17Chr4g0042501	MtMYB094	Myeloblastosis (MYB) transcription factor 94	PMID:31188936
MtrunA17Chr4g0042561	MtNAC969	NAC domain containing protein 969	PMID:22098255
MtrunA17Chr4g0042581	MtSDG34	Histone methyltransferase SDG subfamily	PMID:35161303
MtrunA17Chr4g0042621	MtMYB043	Myeloblastosis (MYB) transcription factor 43	PMID:31188936
